Sr.No,City,Pop.,Pop.,Pop.,Area,Density,Growth,surpassed,State
36,Lübeck,"2,13,399","2,09,818","2,10,232","214,21",981,-1.48,1912,Schleswig-Holstein
37,Erfurt,"2,00,564","2,03,830","2,04,994","269,14",762,2.21,1906,Thuringia
38,Rostock,"2,00,506","2,01,442","2,02,735","181,26","1,118",1.11,1935,Mecklenburg-Vorpommern
39,Mainz,"1,82,870","1,97,778","1,99,237","97,74","2,038",8.95,1908,Rhineland-Palatinate
40,Kassel,"1,94,766","1,94,774","1,95,530","106,78","1,831",0.39,1899,Hesse
41,Hagen,"2,03,151","1,90,121","1,88,529","160,35","1,176",-7.2,1928,North Rhine-Westphalia
42,Hamm,"1,82,427","1,81,741","1,81,783","226,25",803,-0.35,1975,North Rhine-Westphalia
43,Saarbrucken,"1,83,257","1,75,810","1,75,741","167,09","1,052",-4.1,1909,Saarland
44,Mulheim,"1,72,862","1,67,471","1,67,344","91,29","1,833",-3.19,1908,North Rhine-Westphalia
45,Herne,"1,74,529","1,65,632","1,64,762","51,41","3,205",-5.6,1933,North Rhine-Westphalia
46,Ludwigshafen,"1,63,383","1,63,340","1,64,177","77,55","2,117",0.49,1921,Rhineland-Palatinate
47,Osnabruck,"1,64,101","1,63,514","1,64,119","119,80","1,370",0.01,1939,Lower Saxony
48,Oldenburg,"1,54,832","1,61,334","1,62,173","102,98","1,575",4.74,1946,Lower Saxony
49,Leverkusen,"1,61,047","1,60,593","1,60,772","78,87","2,038",-0.17,1963,North Rhine-Westphalia
50,Solingen,"1,64,973","1,60,992","1,59,927","89,54","1,786",-3.06,1929,North Rhine-Westphalia
51,Potsdam,"1,29,324","1,54,606","1,56,906","187,53",837,21.33,1939,Brandenburg
52,Neuss,"1,50,013","1,51,280","1,51,388","99,53","1,521",0.92,1963,North Rhine-Westphalia
53,Heidelberg,"1,40,259","1,46,466","1,47,312","108,83","1,354",5.03,1946,Baden-Wurttemberg
54,Paderborn,"1,39,084","1,45,320","1,46,283","179,51",815,5.18,1975,North Rhine-Westphalia
55,Darmstadt,"1,38,242","1,43,332","1,44,402","122,09","1,183",4.46,1937,Hesse
56,Regensburg,"1,25,676","1,34,218","1,35,520","80,70","1,679",7.83,1940,Bavaria
57,Wurzburg,"1,27,966","1,33,195","1,33,799","87,63","1,527",4.56,1932,Bavaria
58,Ingolstadt,"1,15,722","1,24,387","1,25,088","133,37",938,8.09,1989,Bavaria
59,Heilbronn,"1,19,305","1,22,415","1,22,879","99,88","1,230",3,1970,Baden-Wurttemberg
60,Ulm,"1,17,233","1,22,087","1,22,801","118,69","1,035",4.75,1980,Baden-Wurttemberg
61,Wolfsburg,"1,21,805","1,21,109","1,21,451","204,05",595,-0.29,1972,Lower Saxony
62,Gottingen,"1,24,132","1,21,457","1,21,060","116,89","1,036",-2.47,1964,Lower Saxony
63,Offenbach,"1,17,535","1,18,770","1,20,435","44,89","2,683",2.47,1954,Hesse
64,Pforzheim,"1,17,156","1,19,788","1,19,781","98,00","1,222",2.24,1975,Baden-Wurttemberg
65,Recklinghausen,"1,24,785","1,19,050","1,18,365","66,43","1,782",-5.14,1949,North Rhine-Westphalia
66,Bottrop,"1,20,611","1,17,241","1,16,771","100,61","1,161",-3.18,1953,North Rhine-Westphalia
67,Furth,"1,10,477","1,14,044","1,14,628","63,35","1,809",3.76,1950,Bavaria
68,Bremerhaven,"1,20,822","1,14,031","1,13,366","93,82","1,208",-6.17,1939,Bremen
69,Reutlingen,"1,10,650","1,12,132","1,12,484","87,06","1,292",1.66,1988,Baden-Wurttemberg
70,Remscheid,"1,19,287","1,11,422","1,10,563","74,60","1,482",-7.31,1929,North Rhine-Westphalia
71,Koblenz,"1,07,950","1,06,445","1,06,417","105,05","1,013",-1.42,1962,Rhineland-Palatinate
72,Bergisch Gladbach,"1,05,693","1,05,699","1,05,723","83,11","1,272",0.03,1977,North Rhine-Westphalia
73,Erlangen,"1,00,778","1,05,554","1,05,629","76,95","1,373",4.81,1974,Bavaria
74,Moers,"1,07,062","1,05,929","1,05,506","67,69","1,559",-1.45,1975,North Rhine-Westphalia
75,Trier,"99,410","1,04,587","1,05,260","117,13",899,5.88,1969,Rhineland-Palatinate
76,Jena,"99,893","1,04,449","1,05,129","114,47",918,5.24,1975,Thuringia
77,Siegen,"1,08,476","1,03,984","1,03,424","114,67",902,-4.66,1975,North Rhine-Westphalia
78,Hildesheim,"1,03,909","1,02,903","1,02,794","92,18","1,115",-1.07,1974,Lower Saxony
79,Salzgitter,"1,12,302","1,03,446","1,02,394","223,91",457,-8.82,1942,Lower Saxony
80,Cottbus,"1,08,491","1,01,671","1,02,091","164,29",621,-5.9,1976,Brandenburg
,,,,,,,,,
For more other formats kindly visit www.downloadexcelfiles.com,,,,,,,,,
